step           time         Umax       divMax           dU  ItrP          ResP
2620   1.637500e+01   1.0000e+00   4.0531e+00   1.5184e-03    83   9.98565e-06
2630   1.643750e+01   1.0000e+00   4.0535e+00   1.5081e-03    83   9.98942e-06
2640   1.650000e+01   1.0000e+00   4.0539e+00   1.4980e-03    83   9.99316e-06
2650   1.656250e+01   1.0000e+00   4.0544e+00   1.4879e-03    83   9.99687e-06
2660   1.662500e+01   1.0000e+00   4.0548e+00   1.4779e-03    84   9.46891e-06
2670   1.668750e+01   1.0000e+00   4.0552e+00   1.4680e-03    84   9.47240e-06
2680   1.675000e+01   1.0000e+00   4.0556e+00   1.4581e-03    84   9.47585e-06
2690   1.681250e+01   1.0000e+00   4.0561e+00   1.4483e-03    84   9.47929e-06
2700   1.687500e+01   1.0000e+00   4.0565e+00   1.4386e-03    84   9.48269e-06
2710   1.693750e+01   1.0000e+00   4.0569e+00   1.4289e-03    84   9.48608e-06
2720   1.700000e+01   1.0000e+00   4.0573e+00   1.4192e-03    84   9.48944e-06
2730   1.706250e+01   1.0000e+00   4.0578e+00   1.4097e-03    84   9.49278e-06
2740   1.712500e+01   1.0000e+00   4.0582e+00   1.4002e-03    84   9.49609e-06
2750   1.718750e+01   1.0000e+00   4.0586e+00   1.3907e-03    84   9.49938e-06
2760   1.725000e+01   1.0000e+00   4.0590e+00   1.3814e-03    84   9.50265e-06
2770   1.731250e+01   1.0000e+00   4.0594e+00   1.3720e-03    84   9.50589e-06
2780   1.737500e+01   1.0000e+00   4.0599e+00   1.3628e-03    84   9.50911e-06
2790   1.743750e+01   1.0000e+00   4.0603e+00   1.3536e-03    84   9.51230e-06
2800   1.750000e+01   1.0000e+00   4.0607e+00   1.3444e-03    84   9.51547e-06
2810   1.756250e+01   1.0000e+00   4.0611e+00   1.3353e-03    84   9.51862e-06
2820   1.762500e+01   1.0000e+00   4.0615e+00   1.3263e-03    84   9.52174e-06
2830   1.768750e+01   1.0000e+00   4.0620e+00   1.3173e-03    84   9.52484e-06
2840   1.775000e+01   1.0000e+00   4.0624e+00   1.3083e-03    84   9.52791e-06
2850   1.781250e+01   1.0000e+00   4.0628e+00   1.2995e-03    84   9.53096e-06
2860   1.787500e+01   1.0000e+00   4.0632e+00   1.2906e-03    84   9.53399e-06
2870   1.793750e+01   1.0000e+00   4.0636e+00   1.2819e-03    84   9.53699e-06
2880   1.800000e+01   1.0000e+00   4.0640e+00   1.2731e-03    84   9.53997e-06
2890   1.806250e+01   1.0000e+00   4.0644e+00   1.2645e-03    84   9.54292e-06
2900   1.812500e+01   1.0000e+00   4.0648e+00   1.2558e-03    84   9.54585e-06
2910   1.818750e+01   1.0000e+00   4.0653e+00   1.2473e-03    84   9.54875e-06
2920   1.825000e+01   1.0000e+00   4.0657e+00   1.2387e-03    84   9.55163e-06
2930   1.831250e+01   1.0000e+00   4.0661e+00   1.2303e-03    84   9.55448e-06
2940   1.837500e+01   1.0000e+00   4.0665e+00   1.2218e-03    84   9.55731e-06
2950   1.843750e+01   1.0000e+00   4.0669e+00   1.2135e-03    84   9.56011e-06
2960   1.850000e+01   1.0000e+00   4.0673e+00   1.2051e-03    84   9.56288e-06
2970   1.856250e+01   1.0000e+00   4.0677e+00   1.1969e-03    84   9.56563e-06
2980   1.862500e+01   1.0000e+00   4.0681e+00   1.1886e-03    84   9.56836e-06
2990   1.868750e+01   1.0000e+00   4.0685e+00   1.1805e-03    84   9.57106e-06
3000   1.875000e+01   1.0000e+00   4.0689e+00   1.1723e-03    84   9.57373e-06
3010   1.881250e+01   1.0000e+00   4.0693e+00   1.1642e-03    84   9.57638e-06
3020   1.887500e+01   1.0000e+00   4.0697e+00   1.1562e-03    84   9.57900e-06
3030   1.893750e+01   1.0000e+00   4.0701e+00   1.1482e-03    84   9.58160e-06
3040   1.900000e+01   1.0000e+00   4.0705e+00   1.1402e-03    84   9.58417e-06
3050   1.906250e+01   1.0000e+00   4.0709e+00   1.1323e-03    84   9.58672e-06
3060   1.912500e+01   1.0000e+00   4.0713e+00   1.1244e-03    84   9.58924e-06
